   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 289,      2120,         182,        980,         4024,           1991,          2106,           426,             139,            242,      41616,          139,       16014
 290,      2132,         182,        987,         4040,           2002,          2099,           427,             139,            242,      41905,          139,       16161
 291,      2137,         183,        983,         4060,           2014,          2109,           428,             139,            244,      42195,          139,       16066
 292,      2143,         182,        976,         4079,           2023,          2117,           429,             139,            245,      42486,          139,       16189
 293,      2155,         185,        992,         4098,           2027,          2128,           430,             139,            242,      42778,          139,       16298
 294,      2165,         183,        992,         4111,           2032,          2137,           431,             139,            245,      43071,          139,       16392
 295,      2153,         188,        992,         4128,           2042,          2142,           432,             139,            245,      43365,          139,       16574
 296,      2163,         192,        994,         4145,           2051,          2152,           435,             141,            244,      43660,          141,       16613
 297,      2182,         185,        998,         4168,           2067,          2166,           436,             141,            249,      43956,          141,       16698
 298,      2201,         186,       1004,         4182,           2071,          2170,           437,             141,            246,      44253,          141,       17277
 299,      2231,         191,       1064,         4201,           2080,          2262,           438,             141,            257,      44551,          141,       17850
 300,      2202,         188,       1009,         4220,           2088,          2188,           439,             141,            247,      44850,          141,       17080
 301,      2219,         189,       1061,         4238,           2094,          2197,           440,             141,            250,      45150,          141,       17171
 302,      2225,         189,       1019,         4254,           2102,          2232,           441,             141,            252,      45451,          141,       17404
 303,      2255,         189,       1032,         4269,           2111,          2213,           443,             142,            250,      45753,          142,       17448
 304,      2263,         190,       1040,         4288,           2123,          2228,           446,             144,            252,      46056,          144,       17765
 305,      2261,         192,       1038,         4305,           2130,          2229,           450,             147,            274,      46360,          147,       17729
 306,      2267,         193,       1036,         4325,           2143,          2248,           451,             147,            256,      46665,          147,       17737
 307,      2247,         195,       1029,         4337,           2146,          2249,           452,             147,            257,      46971,          147,       19238
 308,      2255,         196,       1049,         4353,           2150,          2265,           454,             148,            261,      47278,          148,       18043
